Reading lines...
Read 6185 sentence pairs
Counting words...
Counted words:
ALL_SRC 129
ALL_TAR 31
Reading lines...
Read 1237 sentence pairs
Counting words...
Counted words:
TEST_1_SRC 123
TEST_1_TAR 31
sentence, variant, correct, trajectory, translationtime, solvetime
"go to the purple room then go to landmark one .", "F ( purple_room & F ( landmark_1 ) )", True, , , 
"go to the purple room then go to landmark one .", "F ( landmark_1 & F ( landmark_1 ) )", False, , , 
"go to the purple room then go to landmark one .", "F ( purple_room & F ( landmark_3 ) )", False, , , 
"go to the purple room then go to landmark one .", "F ( orange_room & F ( landmark_1 ) )", False, , , 
"go to the purple room then go to landmark one .", "F ( blue_room & F ( landmark_1 ) )", False, , , 
"go to the purple room then go to landmark one .", "F ( purple_room & F ( landmark_2 ) )", False, , , 
"go to the purple room then go to landmark one .", "F ( purple_room & F ( purple_room ) )", False, , , 
"go to the purple room then go to landmark one .", "F ( red_room & F ( landmark_1 ) )", False, , , 
"go to the purple room then go to landmark one .", "F ( purple_room & F ( orange_room ) )", False, , , 
"navigate to the second floor and avoid landmark two .", "F ( second_floor & ~landmark_2 )", True, , , 
"navigate to the second floor and avoid landmark two .", "F ( third_floor & ~landmark_2 )", False, , , 
"navigate to the second floor and avoid landmark two .", "F ( first_floor & ~landmark_2 )", False, , , 
"navigate to the second floor and avoid landmark two .", "F ( second_floor & ~landmark_1 )", False, , , 
"navigate to the second floor and avoid landmark two .", "F ( third_floor & ~landmark_1 )", False, , , 
"navigate to the second floor and avoid landmark two .", "F ( second_floor & ~purple_room )", False, , , 
"navigate to the second floor and avoid landmark two .", "F ( green_room & ~landmark_2 )", False, , , 
"navigate to the second floor and avoid landmark two .", "F ( red_room & ~landmark_2 )", False, , , 
"navigate to the second floor and avoid landmark two .", "F ( second_floor & ~blue_room )", False, , , 
"navigate to the second floor and avoid landmark two .", "F ( third_floor & ~purple_room )", False, , , 
"first move to landmark two then navigate to the orange room .", "F ( landmark_2 & F ( orange_room ) )", True, , , 
"first move to landmark two then navigate to the orange room .", "F ( orange_room & F ( orange_room ) )", False, , , 
"first move to landmark two then navigate to the orange room .", "F ( landmark_1 & F ( orange_room ) )", False, , , 
"first move to landmark two then navigate to the orange room .", "F ( first_floor & F ( orange_room ) )", False, , , 
"first move to landmark two then navigate to the orange room .", "F ( landmark_2 & F ( yellow_room ) )", False, , , 
"first move to landmark two then navigate to the orange room .", "F ( landmark_3 & F ( orange_room ) )", False, , , 
"first move to landmark two then navigate to the orange room .", "F ( landmark_2 & F ( green_room ) )", False, , , 
"first move to landmark two then navigate to the orange room .", "F ( purple_room & F ( orange_room ) )", False, , , 
"go to the third floor then go to landmark two .", "F ( third_floor & F ( landmark_2 ) )", True, , , 
"go to the third floor then go to landmark two .", "F ( first_floor & F ( landmark_2 ) )", False, , , 
"go to the third floor then go to landmark two .", "F ( second_floor & F ( landmark_2 ) )", False, , , 
"go to the third floor then go to landmark two .", "F ( third_floor & F ( landmark_3 ) )", False, , , 
"go to the third floor then go to landmark two .", "F ( third_floor & F ( landmark_1 ) )", False, , , 
"go to the third floor then go to landmark two .", "F ( landmark_2 & F ( landmark_2 ) )", False, , , 
"go to the third floor then go to landmark two .", "F ( third_floor & F ( yellow_room ) )", False, , , 
"go to the third floor then go to landmark two .", "F ( third_floor & F ( green_room ) )", False, , , 
"go to the third floor then go to landmark two .", "F ( third_floor & F ( blue_room ) )", False, , , 
"from the third floor navigate to the first floor .", "F ( first_floor & F ( first_floor ) )", False, , , 
"from the third floor navigate to the first floor .", "F ( third_floor & F ( first_floor ) )", True, , , 
"from the third floor navigate to the first floor .", "F ( first_floor & F ( third_floor ) )", False, , , 
"from the third floor navigate to the first floor .", "F ( third_floor & F ( third_floor ) )", False, , , 
"from the third floor navigate to the first floor .", "F ( second_floor & F ( first_floor ) )", False, , , 
"from the third floor navigate to the first floor .", "F ( first_floor & F ( second_floor ) )", False, , , 
"from the third floor navigate to the first floor .", "F ( landmark_2 & F ( first_floor ) )", False, , , 
"from the third floor navigate to the first floor .", "F ( first_floor & F ( landmark_2 ) )", False, , , 
"go through the blue room before navigating to landmark three .", "F ( blue_room & F ( landmark_3 ) )", True, , , 
"go through the blue room before navigating to landmark three .", "F ( landmark_3 & F ( landmark_3 ) )", False, , , 
"go through the blue room before navigating to landmark three .", "F ( yellow_room & F ( landmark_3 ) )", False, , , 
"go through the blue room before navigating to landmark three .", "F ( orange_room & F ( landmark_3 ) )", False, , , 
"go through the blue room before navigating to landmark three .", "~ ( blue_room & F ( landmark_3 ) )", False, , , 
"go to landmark three by avoiding the orange room and then stay there or continue to the orange room .", "~ ( orange_room ) U ( landmark_3 )", True, , , 
"go to landmark three by avoiding the orange room and then stay there or continue to the orange room .", "~ ( orange_room ) U ( orange_room )", False, , , 
"go to landmark three by avoiding the orange room and then stay there or continue to the orange room .", "~ ( landmark_3 ) U ( landmark_3 )", False, , , 
"go to landmark three by avoiding the orange room and then stay there or continue to the orange room .", "~ ( orange_room ) U ( landmark_1 )", False, , , 
"go to landmark three by avoiding the orange room and then stay there or continue to the orange room .", "~ ( landmark_3 ) U ( orange_room )", False, , , 
"go to landmark three by avoiding the orange room and then stay there or continue to the orange room .", "~ ( orange_room ) U ( yellow_room )", False, , , 
"go to landmark three by avoiding the orange room and then stay there or continue to the orange room .", "~ ( yellow_room ) U ( landmark_3 )", False, , , 
"go to landmark three by avoiding the orange room and then stay there or continue to the orange room .", "~ ( yellow_room ) U ( orange_room )", False, , , 
"go to landmark three by avoiding the orange room and then stay there or continue to the orange room .", "~ ( landmark_1 ) U ( landmark_3 )", False, , , 
"go to landmark two before going to the orange room", "F ( landmark_2 & F ( orange_room ) )", True, , , 
"go to landmark two before going to the orange room", "F ( orange_room & F ( orange_room ) )", False, , , 
"go to landmark two before going to the orange room", "F ( landmark_1 & F ( orange_room ) )", False, , , 
"go to landmark two before going to the orange room", "F ( landmark_2 & F ( yellow_room ) )", False, , , 
"go to landmark two before going to the orange room", "F ( landmark_3 & F ( orange_room ) )", False, , , 
"go to landmark two before going to the orange room", "F ( first_floor & F ( orange_room ) )", False, , , 
"go to landmark two before going to the orange room", "F ( landmark_2 & F ( green_room ) )", False, , , 
"go to landmark two before going to the orange room", "F ( third_floor & F ( orange_room ) )", False, , , 
"go to landmark two before going to the orange room", "F ( purple_room & F ( orange_room ) )", False, , , 
"always avoid the green room and go to the orange room .", "F ( orange_room & ~green_room )", True, , , 
"always avoid the green room and go to the orange room .", "F ( green_room & ~green_room )", False, , , 
"always avoid the green room and go to the orange room .", "F ( orange_room & ~orange_room )", False, , , 
"always avoid the green room and go to the orange room .", "F ( green_room & ~orange_room )", False, , , 
"always avoid the green room and go to the orange room .", "F ( third_floor & ~green_room )", False, , , 
"always avoid the green room and go to the orange room .", "F ( yellow_room & ~green_room )", False, , , 
